name,id,start_time,duration_time
Hola,rz3jw0_XXoc,00:00:02,00:00:02
Hola,rz3jw0_XXoc,00:00:02,00:00:02
Hola,zPOgFI6t1p0,00:00:01,00:01.2
No,rz3jw0_XXoc,00:00:25,00:00:02
No,zPOgFI6t1p0,00:00:07,00:00:02
Lunes,Qt7dGwpRPgo,00:00:54,00:00:10
Martes,Qt7dGwpRPgo,00:01:36,00:00:06
Miercoles,Qt7dGwpRPgo,00:01:46,00:00:02
Jueves,Qt7dGwpRPgo,00:02:06,00:00:04
Viernes,Qt7dGwpRPgo,00:02:14,00:00:03
adios,4daW7-o4vBg,00:00:01,00:00:01
adios,VI7aB6ELCcM,00:00:43,00:00:02
adios,TSuXenPuOgQ&t,00:00:56,00:00:02
adios,p9tpYGZ7umE,00:01:11,00:00:02
buenas noches,VI7aB6ELCcM,00:00:24,00:00:03
buenas noches,TSuXenPuOgQ&t,00:00:45,00:00:03
buenas noches,p9tpYGZ7umE,00:00:30,00:00:02
buenas noches,zhq9WtcRVq8,00:00:56,00:00:02
buenas noches,XfzqVM-iY2E,00:02:01,00:00:02
buenos dias,Fcqr-nxVy0o,00:02:03,00:00:01
buenos dias,TSuXenPuOgQ,00:00:31,00:00:03
buenos dias,zhq9WtcRVq8,00:00:49,00:00:02
buenos dias,p9tpYGZ7umE,00:00:21,00:00:03
buenos dias,cu077nD1AIg&t,00:00:59,00:00:02
nos vemos,VI7aB6ELCcM,00:01:07,00:00:01
nos vemos,6yuE1tNhIOE,00:00:42,00:00:01
nos vemos,TSuXenPuOgQ&t,00:00:51,00:00:02
nos vemos,p9tpYGZ7umE,00:00:40,00:00:01
nos vemos,FlFLVEUpfuA,00:00:18,00:00:01
como estas,VI7aB6ELCcM,00:00:06,00:00:02
como estas,6yuE1tNhIOE,00:00:12,00:00:01
como estas,p9tpYGZ7umE,00:00:06,00:00:01
como estas,zhq9WtcRVq8,00:00:59,00:00:01
como estas,PCHx3s-cwLU,00:00:41,00:00:02
como te llamas,6yuE1tNhIOE,00:00:16,00:00:03
como te llamas,-iGje4pyhjU,00:00:15,00:00:04
como te llamas,CgdCzClXUfs,00:00:00,00:00:04
como te llamas,-iGje4pyhjU,00:01:02,00:00:07
mucho gusto,-iGje4pyhjU,00:00:25,00:00:08
mucho gusto,Fcqr-nxVy0o,00:04:11,00:00:05
mucho gusto,XwmkCWh-fJ4,00:05:31,00:00:06
si,9kt4R2wCrv4,00:00:58,00:00:03
excelente,Fcqr-nxVy0o,00:03:00,00:00:03
Amarillo,IVkwMzTxgog,00:00:33,00:00:02
Amarillo,U7m4daxkSBQ,00:01:45,00:00:04
Amarillo,LjEVaPWWtvk,00:00:20,00:00:03
Amarillo,Dgyv9EsBNtk,00:05:08,00:00:05
Amarillo,6OCvQVpcLUE,00:00:50,00:00:08
Azul,IVkwMzTxgog,00:00:45,00:00:02
Azul,LjEVaPWWtvk,00:00:24,00:00:02
Azul,Dgyv9EsBNtk,00:05:29,00:00:05
Azul,6OCvQVpcLUE,00:01:03,00:00:06
Rojo,IVkwMzTxgog,00:01:55,00:00:05
Rojo,U7m4daxkSBQ,00:02:24,00:00:04
Rojo,LjEVaPWWtvk,00:00:27,00:00:02
Rojo,LjEVaPWWtvk,00:00:30,00:00:02
Rojo,Dgyv9EsBNtk,00:04:53,00:00:04
Verde,IVkwMzTxgog,00:02:12,00:00:03
Verde,U7m4daxkSBQ,00:02:50,00:00:04
Verde,LjEVaPWWtvk,00:00:35,00:00:03
Verde,Dgyv9EsBNtk,00:05:43,00:00:03
Verde,6OCvQVpcLUE,00:02:24,00:00:06
Rosa,IVkwMzTxgog,00:02:07,00:00:02
Rosa,U7m4daxkSBQ,00:02:40,00:00:04
Rosa,LjEVaPWWtvk,00:00:39,00:00:02
Rosa,Dgyv9EsBNtk,00:04:51,00:00:04
Rosa,6OCvQVpcLUE,00:02:15,00:00:05
Negro,U7m4daxkSBQ,00:03:14,00:00:04
Negro,IVkwMzTxgog,00:01:31,00:00:02
Negro,LjEVaPWWtvk,00:00:43,00:00:02
Negro,Dgyv9EsBNtk,00:05:37,00:00:03
Negro,6OCvQVpcLUE,00:02:04,00:00:04
Morado,IVkwMzTxgog,00:01:27,00:00:02
Morado,U7m4daxkSBQ,00:03:33,00:00:04
Morado,LjEVaPWWtvk,00:00:45,00:00:03
Morado,Dgyv9EsBNtk,00:05:16,00:00:04
